date,predicted_open,lower_80,upper_80,lower_60,upper_60
2025-09-16,88.42114,88.22128,88.72621,88.288795,88.61309
2025-09-17,88.45593,88.224045,88.77869,88.30086,88.656136
2025-09-18,88.445984,88.199005,88.7957,88.298805,88.66229
2025-09-19,88.48753,88.131615,88.84459,88.28589,88.69933
