"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"13-JAN-2025","26-SEP-2025","FF","-","88.00","88.00","88.00","88.00","88.00","88.00","25","22,00,000.0000","22,00,000.0000","536","25"
"10-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.45","87.45","87.37","-","-","-","511","-"
"09-JAN-2025","26-SEP-2025","FF","-","87.00","87.45","87.00","87.45","87.45","87.33","2","1,74,450.0000","1,74,450.0000","511","1"
"08-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.37","-","-","-","510","-"
"07-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.21","-","-","-","510","-"
"06-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.14","-","-","-","510","-"
"03-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.23","-","-","-","510","-"
"02-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.23","-","-","-","510","-"
"01-JAN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.14","-","-","-","510","-"
"31-DEC-2024","26-SEP-2025","FF","-","87.00","87.00","87.00","87.00","87.00","87.11","1","87,000.0000","87,000.0000","510","-"
"30-DEC-2024","26-SEP-2025","FF","-","87.00","87.00","87.00","87.00","87.00","87.03","100","87,00,000.0000","87,00,000.0000","510","100"
"27-DEC-2024","26-SEP-2025","FF","-","86.75","86.75","86.70","86.70","86.70","87.35","70","60,71,500.0000","60,71,500.0000","410","50"
"26-DEC-2024","26-SEP-2025","FF","-","86.65","86.65","86.65","86.65","86.65","87.02","100","86,65,000.0000","86,65,000.0000","360","100"
"24-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.92","-","-","-","260","-"
"23-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.86","-","-","-","260","-"
"20-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.86","-","-","-","260","-"
"19-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.93","-","-","-","260","-"
"18-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.72","-","-","-","260","-"
"17-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.70","-","-","-","260","-"
"16-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.68","-","-","-","260","-"
"13-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.61","-","-","-","260","-"
"12-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.64","-","-","-","260","-"
"11-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.63","-","-","-","260","-"
"10-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.65","-","-","-","260","-"
"09-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.53","-","-","-","260","-"
"06-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.45","-","-","-","260","-"
"05-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.50","-","-","-","260","-"
"04-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.55","-","-","-","260","-"
"03-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.49","-","-","-","260","-"
"02-DEC-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.52","-","-","-","260","-"
"29-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.53","-","-","-","260","-"
"28-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.52","-","-","-","260","-"
"27-NOV-2024","26-SEP-2025","FF","-","85.75","85.75","85.75","85.75","85.75","86.57","2","1,71,500.0000","1,71,500.0000","260","-"
"26-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.41","-","-","-","260","-"
"25-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.42","-","-","-","260","-"
"22-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.65","-","-","-","260","-"
"21-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.65","-","-","-","260","-"
"19-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.57","-","-","-","260","-"
"18-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.56","-","-","-","260","-"
"14-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.56","-","-","-","260","-"
"13-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.59","-","-","-","260","-"
"12-NOV-2024","26-SEP-2025","FF","-","-","-","-","85.75","85.75","86.59","-","-","-","260","-"
"11-NOV-2024","26-SEP-2025","FF","-","85.75","85.75","85.75","85.75","85.75","86.61","50","42,87,500.0000","42,87,500.0000","260","40"
