Price,Close,High,Low,Open,Volume
Ticker,USDINR=X,USDINR=X,USDINR=X,USDINR=X,USDINR=X
Date,,,,,
2025-01-02,85.78569793701172,86.03399658203125,85.5739974975586,85.78569793701172,0
2025-01-03,85.80400085449219,86.07230377197266,85.706298828125,85.80400085449219,0
2025-01-06,85.75900268554688,85.84100341796875,85.58429718017578,85.75900268554688,0
2025-01-07,85.68070220947266,85.7938003540039,84.9395980834961,85.68070220947266,0
2025-01-08,85.80650329589844,85.98560333251953,85.70600128173828,85.80650329589844,0
2025-01-09,85.90750122070312,86.18499755859375,85.82530212402344,85.90750122070312,0
2025-01-10,85.91999816894531,86.16079711914062,85.84110260009766,85.91999816894531,0
2025-01-13,86.18800354003906,86.7260971069336,86.09919738769531,86.18800354003906,0
2025-01-14,86.65059661865234,86.85530090332031,86.44409942626953,86.65059661865234,0
2025-01-15,86.535400390625,86.59880065917969,86.10929870605469,86.535400390625,0
2025-01-16,86.43099975585938,86.64219665527344,86.2520980834961,86.43099975585938,0
2025-01-17,86.6061019897461,86.66919708251953,86.0647964477539,86.6061019897461,0
2025-01-20,86.56900024414062,86.57630157470703,86.14119720458984,86.56900024414062,0
2025-01-21,86.21109771728516,86.61759948730469,86.20230102539062,86.21109771728516,0
2025-01-22,86.45189666748047,86.59300231933594,86.28900146484375,86.45189666748047,0
2025-01-23,86.47270202636719,86.58799743652344,86.36900329589844,86.47270202636719,0
2025-01-24,86.44020080566406,86.48629760742188,86.1500015258789,86.44020080566406,0
2025-01-27,86.2030029296875,86.44400024414062,86.18460083007812,86.2030029296875,0
2025-01-28,86.46839904785156,86.58699798583984,86.4020004272461,86.46839904785156,0
2025-01-29,86.58460235595703,86.69529724121094,86.48799896240234,86.58460235595703,0
2025-01-30,86.6406021118164,86.65299987792969,86.54630279541016,86.6406021118164,0
2025-01-31,86.64700317382812,86.71820068359375,86.54519653320312,86.64700317382812,0
2025-02-03,86.55400085449219,87.32559967041016,86.55400085449219,86.55400085449219,0
2025-02-04,86.94339752197266,87.12419891357422,86.93550109863281,86.94339752197266,0
2025-02-05,87.13009643554688,87.47859954833984,87.08599853515625,87.13009643554688,0
2025-02-06,87.33409881591797,87.6718978881836,87.33409881591797,87.33409881591797,0
2025-02-07,87.58830261230469,87.84269714355469,87.31759643554688,87.58830261230469,0
2025-02-10,87.51309967041016,88.07129669189453,87.40859985351562,87.51309967041016,0
2025-02-11,87.49009704589844,87.57170104980469,86.59259796142578,87.49009704589844,0
2025-02-12,86.81120300292969,87.0271987915039,86.2886962890625,86.81120300292969,0
2025-02-13,86.8740005493164,87.01129913330078,86.68409729003906,86.8740005493164,0
2025-02-14,86.75409698486328,86.88999938964844,86.53810119628906,86.75409698486328,0
2025-02-17,86.43460083007812,86.90609741210938,86.63259887695312,86.43460083007812,0
2025-02-18,86.85479736328125,86.97599792480469,86.84500122070312,86.85479736328125,0
2025-02-19,86.88719940185547,86.95230102539062,86.80169677734375,86.88719940185547,0
2025-02-20,86.872802734375,86.91329956054688,86.53060150146484,86.872802734375,0
2025-02-21,86.45120239257812,86.76300048828125,86.44640350341797,86.45120239257812,0
2025-02-24,86.52940368652344,86.7510986328125,86.50479888916016,86.52940368652344,0
2025-02-25,86.69010162353516,87.25240325927734,86.68199920654297,86.69010162353516,0
2025-02-26,87.0811996459961,87.18879699707031,87.03099822998047,87.0811996459961,0
2025-02-27,87.16220092773438,87.42639923095703,87.09480285644531,87.16220092773438,0
2025-02-28,87.3270034790039,87.54199981689453,87.26480102539062,87.3270034790039,0
2025-03-03,87.46399688720703,87.46399688720703,87.24169921875,87.46399688720703,0
2025-03-04,87.32959747314453,87.3949966430664,87.1229019165039,87.32959747314453,0
2025-03-05,87.21700286865234,87.33540344238281,86.82479858398438,87.21700286865234,0
2025-03-06,86.88929748535156,87.14189910888672,86.82330322265625,86.88929748535156,0
2025-03-07,87.12879943847656,87.20469665527344,86.85759735107422,87.12879943847656,0
2025-03-10,87.07379913330078,87.36419677734375,86.87249755859375,87.07379913330078,0
2025-03-11,87.3551025390625,87.3917007446289,87.14250183105469,87.3551025390625,0
2025-03-12,87.20010375976562,87.30490112304688,87.09880065917969,87.20010375976562,0
2025-03-13,87.3405990600586,87.3405990600586,86.92859649658203,87.3405990600586,0
2025-03-14,86.9220962524414,86.99569702148438,86.86630249023438,86.9220962524414,0
2025-03-17,86.93900299072266,86.96980285644531,86.69049835205078,86.93900299072266,0
2025-03-18,86.91639709472656,86.91809844970703,86.51290130615234,86.91639709472656,0
2025-03-19,86.57610321044922,86.66000366210938,86.27469635009766,86.57610321044922,0
2025-03-20,86.33709716796875,86.39900207519531,86.17639923095703,86.33709716796875,0
2025-03-21,86.33609771728516,86.34120178222656,85.92990112304688,86.33609771728516,0
2025-03-24,85.98699951171875,86.03800201416016,85.47200012207031,85.98699951171875,0
2025-03-25,85.53209686279297,85.82869720458984,85.53099822998047,85.53209686279297,0
2025-03-26,85.59040069580078,85.85980224609375,85.59310150146484,85.59040069580078,0
2025-03-27,86.09539794921875,86.09629821777344,85.63300323486328,86.09539794921875,0
2025-03-28,85.69490051269531,85.78099822998047,85.4186019897461,85.69490051269531,0
2025-03-31,85.53880310058594,85.53939819335938,85.2654037475586,85.53880310058594,0
2025-04-01,85.46810150146484,85.81729888916016,85.37519836425781,85.46810150146484,0
2025-04-02,85.61009979248047,85.7063980102539,85.39569854736328,85.61009979248047,0
2025-04-03,85.65119934082031,85.910400390625,85.20230102539062,85.65119934082031,0
2025-04-04,85.28289794921875,85.63829803466797,84.92500305175781,85.28289794921875,0
2025-04-07,85.529296875,86.03240203857422,83.23609924316406,85.529296875,0
2025-04-08,86.0270004272461,86.31089782714844,85.81120300292969,86.0270004272461,0
2025-04-09,86.435302734375,86.74299621582031,86.1312026977539,86.435302734375,0
2025-04-10,86.20929718017578,86.3311996459961,85.60369873046875,86.20929718017578,0
2025-04-11,86.2603988647461,86.26689910888672,85.93720245361328,86.2603988647461,0
2025-04-14,86.19300079345703,86.20030212402344,85.78579711914062,86.19300079345703,0
2025-04-15,86.0447998046875,86.04499816894531,85.59089660644531,86.0447998046875,0
2025-04-16,85.72669982910156,85.76329803466797,85.50800323486328,85.72669982910156,0
2025-04-17,85.62049865722656,85.62560272216797,85.29740142822266,85.62049865722656,0
2025-04-22,85.15889739990234,85.23139953613281,84.972900390625,85.15889739990234,0
2025-04-23,85.2323989868164,85.52120208740234,85.19580078125,85.2323989868164,0
2025-04-24,85.4999008178711,85.66519927978516,85.23690032958984,85.4999008178711,0
2025-04-25,85.2573013305664,85.66290283203125,85.06079864501953,85.2573013305664,0
2025-04-28,85.38490295410156,85.45850372314453,84.95379638671875,85.38490295410156,0
2025-04-29,85.1603012084961,85.37650299072266,84.95500183105469,85.1603012084961,0
2025-04-30,85.1707992553711,85.26390075683594,84.41529846191406,85.1707992553711,0
2025-05-01,84.53119659423828,84.716796875,84.3406982421875,84.53119659423828,0
2025-05-02,84.69670104980469,84.74819946289062,83.58270263671875,84.69670104980469,0
2025-05-05,84.52629852294922,84.55960083007812,72.96710205078125,84.52629852294922,0
2025-05-06,84.2208023071289,84.6167984008789,84.2145004272461,84.2208023071289,0
2025-05-07,84.79319763183594,84.89129638671875,84.47319793701172,84.79319763183594,0
2025-05-08,84.81719970703125,85.88359832763672,84.52200317382812,84.81719970703125,0
