Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD,MACD_signal,MACD_hist,Stoch_K,Stoch_D,BB_upper,BB_middle,BB_lower,ATR_14,Price_Change,Volatility_20,HL_Ratio,Hour,DayOfWeek,Month
2015-03-11,62.7130012512207,62.93999862670898,62.69900131225586,62.869998931884766,0,62.162300491333006,62.142020263671874,62.28558155574484,62.1764484925219,65.16372221357213,0.10913306322294147,0.018989428384731596,0.09014363483820988,86.40732788158473,82.91932560973882,62.72879065578969,62.162300491333006,61.595810326876325,0.4350714002336754,0.0006382479746156466,0.2832450822283401,1.0038437185506814,0,2,3
2015-03-12,62.755001068115234,62.79999923706055,62.29999923706055,62.709999084472656,0,62.18095054626465,62.13656028747559,62.35779994226336,62.219304238862144,64.33429164048468,0.13849570340121886,0.04289068338802905,0.09560502001318981,88.92228973457026,86.78667706642348,62.80001561002724,62.18095054626465,61.561885482502056,0.4546429770333406,0.0006697146693122047,0.3095325318812943,1.0080256822812699,0,3,3
2015-03-13,62.53499984741211,63.08000183105469,62.42300033569336,62.542999267578125,0,62.19920063018799,62.12670028686524,62.3850614661324,62.24268909875473,59.801201954554536,0.14237236737766779,0.0627870201859568,0.07958534719171098,69.88941601455063,81.73967787690187,62.83810874801566,62.19920063018799,61.56029251236032,0.4831431252615772,-0.003505716149448057,0.3194540589138331,1.010524990657741,0,4,3
2015-03-16,63.07600021362305,63.07600021362305,62.68000030517578,63.07600021362305,0,62.24955062866211,62.1226602935791,62.49135973497711,62.30441584800423,66.85283111082065,0.18694388697287678,0.0876183935433408,0.09932549342953598,99.77891633173931,86.19687402695341,62.995076220927416,62.24955062866211,61.5040250363968,0.4987144470214829,0.00865116123020715,0.3727627961326559,1.0063178032310023,0,0,3
2015-03-17,62.78900146484375,62.84299850463867,62.64699935913086,62.7400016784668,0,62.279700660705565,62.111680297851564,62.53715077034121,62.340311078881236,59.553248387604214,0.19683969145997793,0.10946265312666824,0.08737703833330969,83.92264389933422,84.53032541520805,63.062257614041556,62.279700660705565,61.497143707369574,0.5027144295828668,-0.00455004673421433,0.39127847666799553,1.0031286278275553,0,1,3
2015-03-18,62.61600112915039,62.790000915527344,61.86000061035156,62.64099884033203,0,62.30490074157715,62.09264030456543,62.54928159477339,62.360732564086355,63.54972323523117,0.1885490306870352,0.12527992863874166,0.06326910204829356,74.36462155492,86.02206059533118,63.09711968100647,62.30490074157715,61.51268180214783,0.524642944335936,-0.002755264961336046,0.39610946971465977,1.0150339524086613,0,2,3
2015-03-19,62.69300079345703,62.69300079345703,61.869998931884766,62.150001525878906,0,62.33585071563721,62.08104034423828,62.57139224072472,62.385345025521225,67.51208365288436,0.18604721520349443,0.13743338595169222,0.048613829251802215,73.31028731232358,77.19918425552594,63.138386252004274,62.33585071563721,61.53331517927014,0.538928713117326,0.0012297122607338729,0.40126776818353227,1.0133021153350648,0,3,3
2015-03-20,62.483001708984375,62.58000183105469,61.91999816894531,62.41999816894531,0,62.35175075531006,62.07734039306641,62.55779369738005,62.392578853925905,64.92109274304994,0.1652148434541445,0.14298967745218266,0.022225166001961838,58.16402908468776,68.61297931731045,63.15263292014823,62.35175075531006,61.550868590471886,0.5682146889822813,-0.0033496416157283715,0.400441082419084,1.010658974186475,0,4,3
2015-03-23,62.40299987792969,62.40299987792969,62.060001373291016,62.40299987792969,0,62.36685066223144,62.07844039916992,62.53397926361846,62.39335078162989,59.58743628823798,0.14062848198857125,0.14251743835946037,-0.0018889563708891222,52.557741659538074,61.344019352183146,63.15916896737352,62.36685066223144,61.57453235708937,0.5756432669503339,-0.001280377524551346,0.3961591525710374,1.0055268852247607,0,0,3
2015-03-24,62.22299957275391,62.4119987487793,62.09000015258789,62.22299957275391,0,62.36945056915283,62.08154037475586,62.48613623425469,62.38073217356501,57.564564737877234,0.10540406068967911,0.13509476282550414,-0.02969070213582503,29.75398354053639,46.82525142825407,63.15940065880914,62.36945056915283,61.579500479496524,0.5445717402866899,-0.002884481603895428,0.3949750448281532,1.005185997671124,0,1,3
